Question,Answer
"Can you tell me, where I can find Qualification Certificate location ?","Certainly, I'd be happy to help you with it. To answer your question.  Older node technology certificates such as XC06 are not on my X-FAB, but newer ones are ""https://my.xfab.com/search/qualityreliability/documents?_XTICSSPDocumentTypes=OQpHlF2bTNqMnV6YDaFKoA"". Meanhile for XC06/XB06/CX06 qualification certificates which you can find at ""http://sp.erf.xfab.de/RandD/Projects_and_Reports/Certificate/Forms/ProcessOverview.aspx#InplviewHash406e8429-4700-43c4-b969-8f88d204f697=FilterField1%3DProzess%255Fx0020%255FFamily-FilterValue1%3DXC06"". Please Pay attention to the fab at Location column and modules at Status overview column."
"Can you tell me, how to use LEF file ?","Thank you for the question. To answer your question you can simply import each LEF to a library on the LEF in form, you only need to specify the LEF file and the library, then streamout the resulting abstract view to a GDS file. As a check, open each GDS with KLayout to verify it looks right and which layers it has. You also can  check the Cadence streamout logs."
"Can you tell me, where I can find fatal rule list location ?","Certainly, I'd be happy to help you with it. To answer your question.   fatal rule records are available on sharepoint under ""http://sp.erf.xfab.de/RandD/Projects_and_Reports/Lists/ProcessInformation/Category.aspx"""
"Can you tell me, What info is needed for digital library customized PVT Process, Voltage, Temperature request ?","Certainly, I'd be happy to help you with it. To answer your question.  you can see an example from the ticket. See example form in ticket. These information are needed as follow:
PVT is stands for Process, Voltage and Temperature.
1). Design Service: Customized PVT characterization
2). Process name, Library, Library version, PVTs: slow_1_62V_4_50V_150C
3). Delivery data: liberty_LP5MOS_MOS5 liberty_CCS_TIMING_LP5MOS_MOS5 liberty_CCS_POWER_LP5MOS_MOS5 power_grid_voltus
4). Desired Delivery date
5). Status of results: Non-exclusive.
"
"Can you tell me, What is diode forward bias operation in X-Fab ?","Certainly, I'd be happy to help you with it. To answer your question.  In general we don't support forward biasing of diodes in our technologies unless specifically stated such as Schottky diodes. Mostly this is because the diode model parameters are chosen such that the reverse operation of the diode can be accurately simulated. This does not mean that the  simulation of the diodes in forward direction is totally wrong, but it can be less accurate. To model a diode in forward direction often requires parameters that are not available in the model or are insufficiently supported. You can simulate in forward direction and you will get a typical diode characteristic which is fairly accurate in the low current range but may be less accurate in the high current range (knee current, series resistance). In some of our documents is the statement that ""forward bias is not modeled"" which is based on this lack of accuracy in the models. The parameters describing the diode in forward bias are also very layout-specific, so an accurate model for a diode in forward bias would have to be related to a fixed layout."
"Can you tell me, Can you show me on how tospecify an alpha PDK with xkit ?","Certainly, I'd be happy to help you with it. To answer your question.  you can Include the '--useversion' option, for example: xkit -t xt018 --useversion 7.0.1.A2"
"Can you tell me, What is correct method to start DRC and LVS run ?","Certainly, I'd be happy to help you with it. To answer your question.  I advise you to not use .rul files directly, use an appropriate header file which will set variables corresponding to your PDK setup options."
"Can you tell me, if a new PDK version has been released, do I need to update to PDK package if design is already in progress ?","Certainly, I'd be happy to help you with it. To answer your question.  for new designs, we recommend customers always use the latest PDK. For designs in progress when an update is released, customers can review the revision notes at which both the changes document for the process specifications, and the notes in the rev_info.txt files for each EDA package to evaluate if the changes are critical to their design. In principle, we could have rare special cases where we wouldn't accept designs based on an older PDK. Bear in mind that at tape-in, our mask tooling team always uses the most recent runset for DRC, so customers might want to check their designs with the latest runset to avoid possible surprises."
"Can you tell me, Is there any correlation between the deviation of the sheet resistance (RS) of resistors and that of their thermal coefficients TC1 and TC2 ?","Certainly, I'd be happy to help you with it. To answer your question.  In case of some resistors, there seems to be some correlation between the sheet resistance and their temperature coefficients TC1 and TC2. In some other cases the correlation seems to be quite weak. For your informatin rzp2 ,TC1 tends to the high corner for low RS and vice versa and TC2 tends to the high corner for low TC1 and vice versa. For rnp1, TC1 tends to the high corner for lower RS and vice versa and TC2 tends to the high corner for low TC1 and vice versa. For rw, TC1 tends to the low corner for lower RS and vice versa and TC2 tends to the high corner for low TC1 and vice versa. For rpp1,TC1 tends to the high corner for lower RS and vice versa and TC2 tends to the high corner for low TC1 and vice versa."
"Can you tell me, how to setup customize PDK setup using .json file from SpecXplorer ?","Certainly, I'd be happy to help you with it. To answer your question.  to generate a .json file, after logging into the my X-FAB portal navigate to Design > SpecXplorer. Select your target process, then click either 'Select modules or 'Select modules by devices' (within your PDK setup, the first option will offer all devices in the selected module, second option will offer only the selected devices) and then choose the desired process modules. Click OK. Click the download icon next to the search box near the top right of the page. You can further refine the custom setup by unselecting primitive devices of the specified modules if for some reason you want to ensure they are not used. Lastly, click 'Export' to initiate download of the .json file. Use this file when starting your project by typing xkit -d <myfile.json>. This sets up a new project with your chosen modules / devices. Please refer to the xenv userguide for further information."
"Can you tell me, if the X-Fab I/O Input output libraries support copper wire bonding ?","Certainly, I'd be happy to help you with it. To answer your question.  we do not have any I/O libraries specifically designed for Cu or Copper bonding. Some customers have reported running into problems with copper wire bonding but in at least some cases, different customers have used exactly the same pad structure and one had no problem while the other had issues. This indicates different assembly houses can have quite different bonding parameters, and as copper wire bonding is a harsher process than gold or aluminum bonding, marginalities in the interaction between the process and bonding are more likely to show up. One suggestion is to consider using the thick metal (METTHK) module to give the widest bonding margin for assembly and don't use in conjunction with circuit-under-pad techniques. If thick metal is not or cannot be used, inform your assembly partner of the top metal thickness."
"Can you tell me, what is the differences between IO_CELLS and HV_CELLS libraries ?","Certainly, I'd be happy to help you with it. To answer your question.  For 5V application or LV application, it is normally sufficient to use IO_CELLS*. HV_CELLS are mainly used when none of the IO_CELLS* fit your requirement, such as needing to implement HV ESD protection. Some general remarks on the differences between HV_CELLS and IO_CELLS are that IO library pad cells are provided as pad-limited or core-limited layouts, support of multiple power rails. They are also complete IO pad cells with input  output buffer circuitry, also HV pad cells are provided as block,layouts, and normally HV ESD protection structures are too big to fit into a LV IO pad cell frame, moreover HV pad cells consist of protection block and bond pad, and usually contain no power rails or HV input output buffer circuitry and lastly the protection block can be combined with different size bond pads, and it is intended as a starting point for custom HV ESD pad cell designs."
"Can you tell me, Why there is MIM capacitor antenna DRC checks in XH035 ? And also other X*035 technology ?","Certainly, I'd be happy to help you with it. To answer your question.  for single MIM option on X035, we believe there is no issue with plasma damage. For DMIM construction on X035 which resembles the case of two individual single MIMs - no cross coupling routing, we also believe that it has low impact. So far, we have not seen any big issue with the 0.35um process due to plasma induce damage (PID) from designs point of view with all existing working customers product. Therefore you see in general the guideline is it considered as a recommendation only."
"Can you tell me, which Synopsys tools are supported ?","Certainly, I'd be happy to help you with it. To answer your question.  We support several Synopsys tools such as  Design Compiler which is purposed for digital synthesis with required inputs Data Formats -> Liberty.
Next we also support Custom Compiler so called Custom Designer which is purposed for full analog design framework similar  to Cadence IC61 with required inputs EDA Vendors->Synopsys ->CustomCompiler or CustomDesigner. Lastly, supported synopsys tool is IC Compiler which is purposely for  digital implementation, PnR with required inputs EDA Vendors->Synopsys->IC Compiler."
"Can you tell me, which DRC settings should I use to match the X-Fab Data Input Checks for tapeout ?","Certainly, I'd be happy to help you with it. To answer your question.  you can Switch on density and popping and DUMMY_FILL."
"Can you tell me, How do I solve LVS mismatch due to FILLER cells not extracting into layout netlist ?","Certainly, I'd be happy to help you with it. To answer your question.  the problem is due to the fact that these are empty cells with no devices, but contain ports. Possible strategies to deal with this is one could simply ignore the mismatched instance errors for these type of cells. Secondly, omitting them from the schematic would also produce a match. lastly, an empty cell with ports may be considered as a blackbox. Designating all used such cells as blackboxes will work. To do so, go to the Rules section of the PVS LVS form, select the Include PVL tab, check Include PVL Rules, and type the command lvs_black_box followed by the names of all cells to be blackboxed. I suggest to use a space as delimiter."
"Can you tell me, how should I resolve the fatal DRC error when my sealring is connected to a ground pad ?","Certainly, I'd be happy to help you with it. To answer your question.  E1CFCX is usually waived when the intention is to bias the ring by connecting to a voltage source for example by connecting PAD to Ground. When customer gets the DIC Data input check report, he should request waiver by mentioning within the request that the ring is intentionally biassed to ground."
"Can you tell me, what is radiation Hardness ?","Certainly, I'd be happy to help you with it. To answer your question.  X-FAB has not characterized any of its processes for radiation-hardness and we do not monitor or warrant any of our technologies for radiation hardness, nor do we have expertise in the design of radiation hardened cells. We do have customers who do their own designs for radiation hard applications that using both CMOS bulk wafer and SOI technologies , but those customers use either their own experience or public information about the best techniques to use, and then assess the results themselves. SOI processes are generally more radiation tolerant than bulk CMOS processes  but we cannot say by how much in our technologies. Clearly we're not at liberty to discuss any techniques that another customer has used, so we can only refer customers to whatever can be found in the public literature to aid their design. Note that some design techniques could involve the use of structures or layouts that are not supported by our verification decks. For DRC errors on them, we could only advise on the manufacturability of the structure, but the responsibility of waiving them would be the customer's. Any LVS or extraction issues arising from special structures not corresponding to our characterized primitive devices would also not be supported."
"Can you tell me, do X-Fab have any chaterization information about radiation hardness ?","Certainly, I'd be happy to help you with it. To answer your question.  X-FAB has not characterized any of its processes for radiation-hardness and we do not monitor or warrant any of our technologies for radiation hardness, nor do we have expertise in the design of radiation hardened cells. We do have customers who do their own designs for radiation hard applications that using both CMOS bulk wafer and SOI technologies , but those customers use either their own experience or public information about the best techniques to use, and then assess the results themselves. SOI processes are generally more radiation tolerant than bulk CMOS processes  but we cannot say by how much in our technologies. Clearly we're not at liberty to discuss any techniques that another customer has used, so we can only refer customers to whatever can be found in the public literature to aid their design. Note that some design techniques could involve the use of structures or layouts that are not supported by our verification decks. For DRC errors on them, we could only advise on the manufacturability of the structure, but the responsibility of waiving them would be the customer's. Any LVS or extraction issues arising from special structures not corresponding to our characterized primitive devices would also not be supported."
"Can you tell me, how to  implement multiple instances of a ROM, each with different programming ?","Certainly, I'd be happy to help you with it. To answer your question.  When instantiating multiple instances of the same ROM configuration but with different programmings, it is necessary to use the 'extended name' option on the front-end compiler so that each separate instance has a unique name. Otherwise, when IP replacement is performed, both instances will be identical. The distinct names will be used by the backend compiler so that the top cell name of the generated ROM block will be distinct. Otherwise the cal files submitted will be the same with identical top cell names. Then, even though your blackbox cell names are necessarily different, if we were to proceed with the IP replacement, the result would be all ROMs with the same programming. Thus to ensure each ROM instance will have the desired programming, generate the front-end data from the compiler using the extended name option to specify a unique name for each ROM."
Can you tell me and explain the usage of Page 2 of Safety area ?,"Certainly, I'd be happy to help you with it. To answer your question.  Let  me clarify a couple of comments on the datasheet, if power supply interruption during store is impossible then the background is that the trim bits for the charge pump are stored in page 2. The trim bits are determined and stored during wafer probe 1. The trim bits control the programming and erase behavior (timing, pulses, programming and erase voltage level) of the Store operation. If the trim bits do not have the correct value, the endurance and data retention cannot be guaranteed. Any power supply interruption (for example brown-outs) during Store operation could lead to corrupted non-volatile data, because the Store is not executed and finished correctly. Such scenarios are very application dependent. General recommendation is to store critical data like the trim bits on page 2 during wafer probe and final test and do no further Store operation to page 2 during the application. If the correct power supply and a correct Store can be guaranteed, storing to page 2 can also be done. Secondly, If no customer safety relevant data have to be stored it is sufficient to use the maximum size of page 1. In the compiler web interface on myXFAB, the page size (WORDS_PAGE1) can be customized (the restrictions are visible in the compiler web interface). If there are very few or no further critical data as described above except the NVRAM trim bits, the page 2 size can be minimized to not waste area."
"Can you tell me, why Q1SU DRC flags, trigger ?","Certainly, I'd be happy to help you with it. To answer your question.  why Q1SU flag because the SUBCUT layer is not used for any masks, its purpose is only to perform a 'trick' for LVS to pretend the substrate is separable for different ground domains. The Q1SU rule is only a warning as are all Q* rules. B1SU is the only check for how SUBCUT is used; while DRC will always flag Q1SU whenever SUBCUT is present. You might interpret Q1SU as asking if you are intentionally using SUBCUT."
Can you tell me and explain what is Primitive Device List PDL results from Data Input Check ?,"Certainly, I'd be happy to help you with it. To answer your question.  The PDL primitive device list file is produced from a special LVS run that only extracts a list of the primitive devices (including parasitic devices) present in your layout. The parasitic devices would generally be diodes that are part of the structure of high voltage or isolated transistors. The PDL file is for information only. There have been cases in some of our technologies where a primitive device may be superseded by an improved version, or conceivably some issue under certain operating conditions of a device may have been identified -- in such cases, our Customer Projects department would use the PDL to check if such devices are used in a customer's design and make sure the customer is aware of the device's status. If you want to know the locations of devices in your layout, you should perform a parasitic extraction run such as with our Cadence QRC or Calibre PEX runsets."
"Can you tell me, does X-FAB offer or support Flip Chip support ?","Certainly, I'd be happy to help you with it. To answer your question.  X-FAB does not support any additional processing for flip chip such as the seed and plating layers or the ball deposition so of course customers must discuss that with their assembly subcontractor. 
X-FAB does not offer any flip-chip specific processing. We don't make any special processing or bondpad designs for flip-chip either, but our standard pads have been used by some customers at flip-chip houses. Please review and understand your assembly partner's rules for flip-chip to check their requirements and see what if any modification might be needed to comply. You should be able to do any layout modifications yourself."
"Can you tell me, which antenna diode should i use in my design ?","Certainly, I'd be happy to help you with it. To answer your question.  the connection to DIFF provides a discharge path during manufacture, so its function as an antenna diode doesn't matter which diode is used. After manufacture, the antenna role is no longer needed, and how the diode could impact the function of the circuit must dictate which diode is selected. Rather than the breakdown voltage parameter, the reverse bias operating limit should be used to decide. Alternatively, where possible, a metal bridge close to the at-risk gate oxide can be used to fix an antenna violation."
"Can you tell me, concerning device operating limits, what do is the meaning of  absolute'voltage limits and what it is specify ?","Certainly, I'd be happy to help you with it. To answer your question.  for X-FAB, the absolute voltage is the maximum voltage that can be applied to a device for a short period of time without significant damage.  The main reason we phrase it this way is because we can't be sure what the actual state of the device will be during this period of time. For example, if 7 volts is applied between the source and drain of a nmos4 device from the xc06 process 7V is the absolute max value for these terminals. We are not specifying what voltage is on the gate or body of the device.  If the gate and body were at 0V, this voltage could probably be held forever. But if the body was at 0V and the gate was at 2V, there would be significant hot carrier current to the gate and the device could fairly quickly degrade. Since this is a circuit issue, we have to use the conservative definition. If in your designs you can guarantee that the devices are always off when the maximum voltage is applied, the devices will probably survive indefinitely. However, please remember that X-FAB will not guarantee this."
"Can you tell me,how I  can export from Innovus to GDS without having to use Virtuoso to replace abstract views with the layout views ?","Certainly, I'd be happy to help you with it. To answer your question.  One can directly write out from Innovus to an OA library that has replaced abstract views with layout views ""oaOut ${newlibName} ${designName} ${cellName} -autoRemaster -leafViewNames { layout }"". The output library should be different from the Innovus working OA library, as the new library cannot be read back into Innovus because all timing views and global settings will have been lost. Our 180nm technology Cadence PDK kernels include support for GDS export from Innovus. The mapping files to be used when streaming Innovus layers to GDS are in the technology library corresponding to your PDK setup code, for example ""$X_DIR/xh018/cadence/v*_*/PDK/IC61/v*_*_*/TECH_XH018_1141/pnr_streamout.map"". Additionally, the PVS QRC runset provides mapping files to be used when running QRC extraction from Innovus, for example ""$X_DIR/xh018/cadence/v*_*/QRC_pvs/v*_*_*/XH018_1141/QRC-Typ/xx018_lef_qrc.map"". This file exists also in the QRC-Min and QRC-Max folders."
"Can you tell me, Assura tool gives background stamp errors and What exactly are these meaning ?","Certainly, I'd be happy to help you with it. To answer your question.  The bkgnd_StampErrorFloat error simply means that the layout being checked has no connection to the substrate. Placing even just a single PDIFF contact will clear the error of course such would not be sufficient for an entire chip. The bkgnd_StampErrorMult and bkgnd_StampErrorConnect errors work together to indicate that the layout has multiple substrate connections that are not connected to the same node with metal which resulting in soft connections through the substrate. Assura will flag one of the connections stamps with bkgnd_StampErrorMult and all of the others with bkgnd_StampErrorConnect."
"Can you tell me, what is the meaning of the Assura 'minority PTUB connectors' error message ?","Certainly, I'd be happy to help you with it. To answer your question.  It is generated by the connect statement from Assura. It means that more than one net is connected to the layer. The stamped layer receives the net information from the net with the most contacts. All other nets are marked with this error. For more detailed information please refer to the Assura manuals. X-FAB does not document tool specific messages. The Assura Command Reference manual (a document primarily aimed at runset developers) explains that: 'A layer with a soft connection is a layer that only receives connectivity information and does not pass on that connectivity information. You can use the soft keyword to check layers for high-resistivity, such as wells, where you want them to be part of the net, but you do not want them to be used as a connection between two conducting layers. This means PTUB_soft_connect errors are 'soft connection' shorts through a common layer, which is often the PSUB, or a common well. In other words, multiple distinct nets are connected to that common layer. Perhaps those distinct nets were not intended to be distinct and should be connected together by metal. It also should be inferred that it is not an error that you'll find defined in an X-FAB Design Rule Specification. For a technology such as XT018, it could result from neglecting to put a trench around a p-type tub to isolate it from other tubs."
"Can you tell me, What is an ""unstable device"" because it triggered or flagged by Assura LVS ?","Certainly, I'd be happy to help you with it. To answer your question.  It refers to a device for which device layers or connectivity are in several hierarchy levels. This message is suppressible by setting '?reportUnstableDevices nil'. For more details please see the Assura Command Reference Manual from Cadence."
"Can you tell me, why can't I download X-Fab analog libraries ?","Certainly, I'd be happy to help you with it. To answer your question.  all of our A_CELLS analog libraries are subject to a license agreement and one-time fee. If interested, please check with your X-FAB Sales contact for license details and a quote. The databook based on html overview page with links to individual PDF datasheets) is accessible. The library will be released upon receipt of signed license agreement and PO. The deliverable includes full schematics and complete layout."
"Can you tell me, Is backgrinding available for X-Fab MPW shuttle runs ?","Certainly, I'd be happy to help you with it. To answer your question.  by default, we do not offer backgrinding service for customer tape-in for the MPW scheduled run. However, if a customer has such request and informs us during tape-in, we could check if we can support backgrinding for the particular case."
"Can you tell me, Is backgrinding available for xs018 ?","Certainly, I'd be happy to help you with it. To answer your question.  backgrinding is not supported for xs018. This is due to the risk on optical applications which are both logistical handling and the potential defect . If it is a single exception for example MPW or non-optical application, you can try to align with our Customer Projects department to check if X-FAB can offer backgrinding."
"Can you tell me, how are the PDK bindkeys for Cadence is defined or setup ?","Certainly, I'd be happy to help you with it. To answer your question.  you should find a file .xfabcadrc created in your $HOME directory when you first execute the xkit script. For example by set XfabCadNoSetBindKey = t, means suppress default bindkey settings.
However since this is commented out by default, the default Cadence bindkeys are used, which may be located in $CDSHOME/tools/dfII/samples/local. You can define your own customized bindkeys in your .cdsinit_personal file."
"Can you tell me, if qpa device causes issues during LVS and how I can resolve it ?","Certainly, I'd be happy to help you with it. To answer your question.  for a hierarchical run, the Calibre LVS layout-extracted netlist creates an internal subcircuit for qpa which is the source of the error, for example as follow
.SUBCKT qpa 1 2 3 5
** N=8 EP=4 IP=0 FDC=1
X0 3 5 2 1 QPA $X=2600 $Y=2600 $D=20
.ENDS
As we cannot interfere with Calibre's internal hierarchy processing engine, the workaround is to explicitly flatten the cell by including this command in calibre GUI LVS Options/Include tab : FLATTEN CELL qpa"
"Can you tell me where I can find QRC tech file for X*035, 0.35um or 350nm process that can be used with Innovus tools ?","Certainly, I'd be happy to help you with it. To answer your question.  X-FAB does not support the QRC extraction from Innovus by using Quantus and QRC-tech files for our 0.35um or X*035 processes. The precision provided by our *.techLEF and *.capTbl files is sufficient for that technology node. Therefore we suggest you run the RC extraction in Innovus based on capTbl files which required in the Innovus setup."
"Can you tell me, what is your recommendations for corner lot splits ?","Certainly, I'd be happy to help you with it. To answer your question.  The short answer is that unlike most digital-dominated fabs, we don't have a set menu of split conditions based on fast / typ / slow that customers should choose because in a mixed signal design there is often a lot more than just Vt and poly CD that can be critical to the design (but those parameters would normally be sufficient for a digital design). Therefore it's normal for a customer to make a specific request on what parameters it is desired to adjust and the relevant fab will review and confirm if that set of corners is possible. The negotiation would be done through Customer Projects at the relevant fab. Our digital libraries and memories are characterized in the process fast/slow 3 Sigma range. 3 Sigma production means that 99.73% of the delivered wafers are OK in terms of the stable process parameters. The process parameters are monitored with PCM test structures on each wafer. So, if your digital design is DRC, LVS clean and the timing analysis with post layout extraction is OK at the conditions as follow:

1). PVT = wp(fast), VDD_max, Tj_min
2). PVT = ws(slow), VDD_min, Tj_max

then you can expect 99.73% yield of the digital block in terms of process parameter deviations. The majority of our customers don't ask for corner lots for their projects, but some customers do it. The Vt and gate length adjustments implied by your proposed corners impact the relevant transistor parameters for digital timing which are saturation current and threshold voltage. The usual flow for ordering corner lots begins with the customer identifying the critical process parameters for their design (might not be simply 'digital' parameters) and submitting a list of required corners (must conform to the PCM pass/fail parameters) to X-FAB. The feasibility of such process variations will be checked by X-FAB (Customer Projects team) and then a final corner split proposal is sent.  The goal of such a corner should be to evaluate that the design would work at lower and upper spec limits. So the typical values are the upper and lower limits of the PCM Acceptance Specification (PAS). Here are some comments that have been collected from one of our FSEs. If you design according to the design rules, then the simulations should be sufficient. Some products require that the design rules be pushed to meet the performance requirements. In these cases, corner lots can identify process sensitivities where yield can be compromised. I would estimate that less than 10% of my customers are relying on Corner Lots for characterization, and these are generally only for high-volume products. When they do request they typically look at simple VTN/VTP, maybe HiRes Poly. The parameters are really design dependent. Even when I do get customers running corner lots, I'm not getting much feedback and request for product specific parametric targeting. This leads to my perception about the accuracy of the simulations. Potentially more effective than corner lots is coordinating a yield feedback loop once products are released to production. If we get your yield, bin, etc. information and input it into our yield enhancement software, we can correlate to equipment, inline, PCM, visual inspection, etc. Customers that work with us on this feedback will achieve yield stabilization much more quickly than without. We can work with you to review your Wafer/Final Test and coordinate the best means for yield feedback. One of our application engineers expanded on those comments, The customers that do request corner lots usually settle on +/-3 sigma for the parameters they are interested in. The LV MOS VT parameters are usually selected. Beyond that it really depends on the specifics of the process options the customer has chosen and the sensitivities their designers are most concerned with. However, there are some significant limitations on what parameters can be varied cleanly in a corner split. The LV MOS VT parameters are relatively straight forward because there is usually a separate VT adjust implant used on them that is separate from the well implant that controls breakdown and punch through, however there are usually a few interactions that cant be avoided (like output resistance and nw sheet resistance). The high sheet resistance poly resistors are generally easy to vary because there is usually a dedicated implant for that parameter. Beyond that things get more difficult. The HV transistor VT is sometimes split but there is almost always an interaction with transistor BVDSS, punch through, sometimes field threshold and often other parameters which can complicate evaluating the split. Other parameters are very difficult or expensive to split such as gate oxide thickness or capacitor values because they require dedicated diffusion or deposition runs that use the capacity of five or 6 lots for each split. My background is process development and I used to be a big fan of corner splits and ran a lot of them myself. I eventually concluded that they were not that useful for three reasons as follow:

1). Too often there are parameter interactions that you cannot avoid which makes it difficult to impossible to get clean results from the splits.
2).  You may plan for nominal, +3 sigma and -3 sigma splits but due to normal process variation you usually end up with each of these splits +/- 1 sigma or so from your intended target, e.g. -1 sigma, +2 sigma and -4 sigma, which again makes analysis difficult or impossible and may result in some splits being non-functional.

* The corner splits are arranged by artificially varying one process parameter, such as the VT implant. In actual production lots each device parameter varies 'naturally' due to the interaction of several different process parameters. Each of these parameters has a different magnitude and direction impact on several different device parameters, usually for several different devices. As a result multiple device parameters tend to vary in a complex but related way. The corner split procedure does not reproduce this pattern so while you may get the target parameter to vary the way you want, the other device parameters will vary in a completely different way than you will see in actual production lots. For digital blocks this is probably not an important issue but for analog or RF blocks it may give a completely misleading result. I hope this input is helpful in your decision-making."
