concept,description,text
Cpk report location,"Example for Kch & Drs:
http://sp.erf.xfab.de/OperationsGlobal/COOStaff/Reporting/Documentss/Forms/Kuching.aspx
http://sp.erf.xfab.de/OperationsGlobal/COOStaff/Reporting/Documentss/Forms/Dresden.aspx","###Human:
Cpk report location

###Assistant:
Example for Kch & Drs:
http://sp.erf.xfab.de/OperationsGlobal/COOStaff/Reporting/Documentss/Forms/Kuching.aspx
http://sp.erf.xfab.de/OperationsGlobal/COOStaff/Reporting/Documentss/Forms/Dresden.aspx"
Qualification Certificate location,"Older node technology certificates such as XC06 are not on my X-FAB, but newer ones are:
https://my.xfab.com/search/quality-reliability/documents?_XTICSSPDocumentTypes=OQpHlF2bTNqMnV6YDaFKoA
For XC06/XB06/CX06 qualification certificates:
http://sp.erf.xfab.de/RandD/Projects_and_Reports/Certificate/Forms/ProcessOverview.aspx#InplviewHash406e8429-4700-43c4-b969-8f88d204f697=FilterField1%3DProzess%255Fx0020%255FFamily-FilterValue1%3DXC06
Pay attention to the fab (Location column) and modules (Status overview column).","###Human:
Qualification Certificate location

###Assistant:
Older node technology certificates such as XC06 are not on my X-FAB, but newer ones are:
https://my.xfab.com/search/quality-reliability/documents?_XTICSSPDocumentTypes=OQpHlF2bTNqMnV6YDaFKoA
For XC06/XB06/CX06 qualification certificates:
http://sp.erf.xfab.de/RandD/Projects_and_Reports/Certificate/Forms/ProcessOverview.aspx#InplviewHash406e8429-4700-43c4-b969-8f88d204f697=FilterField1%3DProzess%255Fx0020%255FFamily-FilterValue1%3DXC06
Pay attention to the fab (Location column) and modules (Status overview column)."
GDS from LEF,"Simply import each LEF to a library (on the LEF in form, you only need to specify the LEF file and the library), then streamout the resulting abstract view to a GDS file. As a check, open each GDS with KLayout to verify it looks right and which layers it has (can also check the Cadence streamout logs).","###Human:
GDS from LEF

###Assistant:
Simply import each LEF to a library (on the LEF in form, you only need to specify the LEF file and the library), then streamout the resulting abstract view to a GDS file. As a check, open each GDS with KLayout to verify it looks right and which layers it has (can also check the Cadence streamout logs)."
Fatal Rules list location,fatal rule records are on sharepoint under http://sp.erf.xfab.de/RandD/Projects_and_Reports/Lists/ProcessInformation/Category.aspx --> Fatal Rules,"###Human:
Fatal Rules list location

###Assistant:
fatal rule records are on sharepoint under http://sp.erf.xfab.de/RandD/Projects_and_Reports/Lists/ProcessInformation/Category.aspx --> Fatal Rules"
What info is needed for digital library customized PVT request?,"See example form in ticket.
Design Service: Customized PVT characterization
Process:
Library:
Library version:
PVTs: slow_1_62V_4_50V_150C
Delivery data: liberty_LP5MOS_MOS5 liberty_CCS_TIMING_LP5MOS_MOS5 liberty_CCS_POWER_LP5MOS_MOS5 power_grid_voltus
Desired Delivery date:
Status of results: Non-exclusive","###Human:
What info is needed for digital library customized PVT request?

###Assistant:
See example form in ticket.
Design Service: Customized PVT characterization
Process:
Library:
Library version:
PVTs: slow_1_62V_4_50V_150C
Delivery data: liberty_LP5MOS_MOS5 liberty_CCS_TIMING_LP5MOS_MOS5 liberty_CCS_POWER_LP5MOS_MOS5 power_grid_voltus
Desired Delivery date:
Status of results: Non-exclusive"
diode forward bias operation,"In general we don't support forward biasing of diodes in our technologies (unless specifically stated - such as Schottky diodes). Mostly this is because the diode model parameters are chosen such that the reverse operation of the diode can be accurately simulated. This does not mean that the  simulation of the diodes in forward direction is totally wrong, but it can be less accurate. To model a diode in forward direction often requires parameters that are not available in the model or are insufficiently supported. You can simulate in forward direction and you will get a typical diode characteristic which is fairly accurate in the low current range but may be less accurate in the high current range (knee current, series resistance). In some of our documents is the statement that ""forward bias is not modeled"" which is based on this lack of accuracy in the models. The parameters describing the diode in forward bias are also very layout-specific, so an accurate model for a diode in forward bias would have to be related to a fixed layout.","###Human:
diode forward bias operation

###Assistant:
In general we don't support forward biasing of diodes in our technologies (unless specifically stated - such as Schottky diodes). Mostly this is because the diode model parameters are chosen such that the reverse operation of the diode can be accurately simulated. This does not mean that the  simulation of the diodes in forward direction is totally wrong, but it can be less accurate. To model a diode in forward direction often requires parameters that are not available in the model or are insufficiently supported. You can simulate in forward direction and you will get a typical diode characteristic which is fairly accurate in the low current range but may be less accurate in the high current range (knee current, series resistance). In some of our documents is the statement that ""forward bias is not modeled"" which is based on this lack of accuracy in the models. The parameters describing the diode in forward bias are also very layout-specific, so an accurate model for a diode in forward bias would have to be related to a fixed layout."
How do I specify an alpha PDK with xkit?,"Include the '--useversion' option, for example: xkit -t xt018 --useversion 7.0.1.A2 –n","###Human:
How do I specify an alpha PDK with xkit?

###Assistant:
Include the '--useversion' option, for example: xkit -t xt018 --useversion 7.0.1.A2 –n"
What is correct method to start DRC/LVS run?,"Don't use .rul files directly, use an appropriate header file which will set variables corresponding to your PDK setup options.","###Human:
What is correct method to start DRC/LVS run?

###Assistant:
Don't use .rul files directly, use an appropriate header file which will set variables corresponding to your PDK setup options."
"A new PDK version has been released, do I need to update (design is already in progress)?","For new designs, we recommend customers always use the latest PDK. For designs in progress when an update is released, customers can review the revision notes (both the changes document for the process specifications, and the notes in the rev_info.txt files for each EDA package) to evaluate if the changes are critical to their design. In principle, we could have rare special cases where we wouldn't accept designs based on an older PDK. Bear in mind that at tape-in, our mask tooling team always uses the most recent runset for DRC, so customers might want to check their designs with the latest runset to avoid possible surprises.","###Human:
A new PDK version has been released, do I need to update (design is already in progress)?

###Assistant:
For new designs, we recommend customers always use the latest PDK. For designs in progress when an update is released, customers can review the revision notes (both the changes document for the process specifications, and the notes in the rev_info.txt files for each EDA package) to evaluate if the changes are critical to their design. In principle, we could have rare special cases where we wouldn't accept designs based on an older PDK. Bear in mind that at tape-in, our mask tooling team always uses the most recent runset for DRC, so customers might want to check their designs with the latest runset to avoid possible surprises."
"Is there any correlation between the deviation of the sheet resistance (RS) of resistors and that of their thermal coefficients (TC1, TC2)?","In case of some resistors, there seems to be some correlation between the sheet resistance and their temperature coefficients TC1/2. In some other cases the correlation seems to be quite weak.
rzp2:
TC1 tends to the high corner for low RS and vice versa. 
TC2 tends to the high corner for low TC1 and vice versa.
rnp1:
TC1 tends to the high corner for lower RS and vice versa. 
TC2 tends to the high corner for low TC1 and vice versa.
rw:
TC1 tends to the low corner for lower RS and vice versa. 
TC2 tends to the high corner for low TC1 and vice versa.
rpp1:
TC1 tends to the high corner for lower RS and vice versa. 
TC2 tends to the high corner for low TC1 and vice versa.","###Human:
Is there any correlation between the deviation of the sheet resistance (RS) of resistors and that of their thermal coefficients (TC1, TC2)?

###Assistant:
In case of some resistors, there seems to be some correlation between the sheet resistance and their temperature coefficients TC1/2. In some other cases the correlation seems to be quite weak.
rzp2:
TC1 tends to the high corner for low RS and vice versa. 
TC2 tends to the high corner for low TC1 and vice versa.
rnp1:
TC1 tends to the high corner for lower RS and vice versa. 
TC2 tends to the high corner for low TC1 and vice versa.
rw:
TC1 tends to the low corner for lower RS and vice versa. 
TC2 tends to the high corner for low TC1 and vice versa.
rpp1:
TC1 tends to the high corner for lower RS and vice versa. 
TC2 tends to the high corner for low TC1 and vice versa."
Customize PDK setup using .json file from SpecXplorer,"To generate a .json file, after logging into the my X-FAB portal navigate to Design > SpecXplorer. Select your target process, then click either 'Select modules or 'Select modules by devices' (within your PDK setup, the first option will offer all devices in the selected module, second option will offer only the selected devices) and then choose the desired process modules. Click OK. Click the download icon next to the search box near the top right of the page. You can further refine the custom setup by unselecting primitive devices of the specified modules if for some reason you want to ensure they are not used. Lastly, click 'Export' to initiate download of the .json file. Use this file when starting your project by typing xkit -d <myfile.json>. This sets up a new project with your chosen modules / devices. Please refer to the xenv userguide for further information.","###Human:
Customize PDK setup using .json file from SpecXplorer

###Assistant:
To generate a .json file, after logging into the my X-FAB portal navigate to Design > SpecXplorer. Select your target process, then click either 'Select modules or 'Select modules by devices' (within your PDK setup, the first option will offer all devices in the selected module, second option will offer only the selected devices) and then choose the desired process modules. Click OK. Click the download icon next to the search box near the top right of the page. You can further refine the custom setup by unselecting primitive devices of the specified modules if for some reason you want to ensure they are not used. Lastly, click 'Export' to initiate download of the .json file. Use this file when starting your project by typing xkit -d <myfile.json>. This sets up a new project with your chosen modules / devices. Please refer to the xenv userguide for further information."
Do the I/O libraries support copper wire bonding?,"We do not have any I/O libraries specifically designed for Cu bonding. Some customers have reported running into problems with copper wire bonding but in at least some cases, different customers have used exactly the same pad structure and one had no problem while the other had issues. This indicates different assembly houses can have quite different bonding parameters, and as copper wire bonding is a harsher process than gold or aluminum bonding, marginalities in the interaction between the process and bonding are more likely to show up. One suggestion is to consider using the thick metal (METTHK) module to give the widest bonding margin for assembly - and don't use in conjunction with circuit-under-pad techniques. If thick metal is not or cannot be used, inform your assembly partner of the top metal thickness. ","###Human:
Do the I/O libraries support copper wire bonding?

###Assistant:
We do not have any I/O libraries specifically designed for Cu bonding. Some customers have reported running into problems with copper wire bonding but in at least some cases, different customers have used exactly the same pad structure and one had no problem while the other had issues. This indicates different assembly houses can have quite different bonding parameters, and as copper wire bonding is a harsher process than gold or aluminum bonding, marginalities in the interaction between the process and bonding are more likely to show up. One suggestion is to consider using the thick metal (METTHK) module to give the widest bonding margin for assembly - and don't use in conjunction with circuit-under-pad techniques. If thick metal is not or cannot be used, inform your assembly partner of the top metal thickness. "
What is the difference between IO_CELLS* vs HV_CELLS libraries?,"For 5V application or LV application, it is normally sufficient to use IO_CELLS*.
HV_CELLS are mainly used when none of the IO_CELLS* fit your requirement, such as needing to implement HV ESD protection.
Some general remarks on the differences between HV_CELLS and IO_CELLS*:
* IO library pad cells are provided as pad-limited or core-limited layouts, support of multiple power rails. They are also complete IO pad cells with input/output buffer circuitry.
* HV pad cells are provided as block layouts, and normally HV ESD protection structures are too big to fit into a LV IO pad cell frame.
* HV pad cells consist of protection block and bond pad, and usually contain no power rails or HV input/output buffer circuitry.
* The protection block can be combined with different size bond pads, and it is intended as a starting point for custom HV ESD pad cell designs.","###Human:
What is the difference between IO_CELLS* vs HV_CELLS libraries?

###Assistant:
For 5V application or LV application, it is normally sufficient to use IO_CELLS*.
HV_CELLS are mainly used when none of the IO_CELLS* fit your requirement, such as needing to implement HV ESD protection.
Some general remarks on the differences between HV_CELLS and IO_CELLS*:
* IO library pad cells are provided as pad-limited or core-limited layouts, support of multiple power rails. They are also complete IO pad cells with input/output buffer circuitry.
* HV pad cells are provided as block layouts, and normally HV ESD protection structures are too big to fit into a LV IO pad cell frame.
* HV pad cells consist of protection block and bond pad, and usually contain no power rails or HV input/output buffer circuitry.
* The protection block can be combined with different size bond pads, and it is intended as a starting point for custom HV ESD pad cell designs."
Why no MIM capacitor antenna DRC checks in X*035?,"For single MIM option on X*035, we believe there is no issue with plasma damage. For DMIM construction on X*035 which resembles the case of two individual single MIMs - no cross coupling routing, we also believe that it has low impact. So far, we have not seen any big issue with the 0.35um process due to plasma induce damage (PID) from designs point of view with all existing working customers’ product. Therefore you see in general the guideline is it considered as a recommendation only.","###Human:
Why no MIM capacitor antenna DRC checks in X*035?

###Assistant:
For single MIM option on X*035, we believe there is no issue with plasma damage. For DMIM construction on X*035 which resembles the case of two individual single MIMs - no cross coupling routing, we also believe that it has low impact. So far, we have not seen any big issue with the 0.35um process due to plasma induce damage (PID) from designs point of view with all existing working customers’ product. Therefore you see in general the guideline is it considered as a recommendation only."
Which Synopsys tools are supported?,"We support several Synopsys tools :
* Design Compiler: purposed for digital synthesis, required inputs : Data Formats -> Liberty
* Custom Compiler (aka Custom Designer): full analog design framework similar e.g. to Cadence IC61; required inputs EDA Vendors->Synopsys->CustomCompiler or CustomDesigner
* IC Compiler : digital implementation, PnR; required inputs EDA Vendors->Synopsys->IC Compiler","###Human:
Which Synopsys tools are supported?

###Assistant:
We support several Synopsys tools :
* Design Compiler: purposed for digital synthesis, required inputs : Data Formats -> Liberty
* Custom Compiler (aka Custom Designer): full analog design framework similar e.g. to Cadence IC61; required inputs EDA Vendors->Synopsys->CustomCompiler or CustomDesigner
* IC Compiler : digital implementation, PnR; required inputs EDA Vendors->Synopsys->IC Compiler"
Which DRC settings should I use to match the fab's Data Input Checks?,Switch on density and popping and DUMMY_FILL.,"###Human:
Which DRC settings should I use to match the fab's Data Input Checks?

###Assistant:
Switch on density and popping and DUMMY_FILL."
How do I solve LVS mismatch due to FILLER cells not extracting into layout netlist?,"The problem is due to the fact that these are empty cells (i.e. no devices), but contain ports. Possible strategies to deal include:
1) One could simply ignore the mismatched instance errors for these type of cells.
2) Omitting them from the schematic would also produce a match.
3) An empty cell with ports may be considered as a blackbox. Designating all used such cells as blackboxes will work. To do so, go to the Rules section of the PVS LVS form, select the Include PVL tab, check Include PVL Rules, and type the command lvs_black_box followed by the names of all cells to be blackboxed (use a space as delimiter).","###Human:
How do I solve LVS mismatch due to FILLER cells not extracting into layout netlist?

###Assistant:
The problem is due to the fact that these are empty cells (i.e. no devices), but contain ports. Possible strategies to deal include:
1) One could simply ignore the mismatched instance errors for these type of cells.
2) Omitting them from the schematic would also produce a match.
3) An empty cell with ports may be considered as a blackbox. Designating all used such cells as blackboxes will work. To do so, go to the Rules section of the PVS LVS form, select the Include PVL tab, check Include PVL Rules, and type the command lvs_black_box followed by the names of all cells to be blackboxed (use a space as delimiter)."
How should I resolve the fatal DRC error when my sealring is connected to a ground pad?,"E1CFCX is usually waived when the intention is to bias the ring by connecting to a voltage source (e.g. PAD connected to GND). When customer gets the DIC report, he should request waiver by mentioning within the request that the ring is intentionally biassed to ground.","###Human:
How should I resolve the fatal DRC error when my sealring is connected to a ground pad?

###Assistant:
E1CFCX is usually waived when the intention is to bias the ring by connecting to a voltage source (e.g. PAD connected to GND). When customer gets the DIC report, he should request waiver by mentioning within the request that the ring is intentionally biassed to ground."
Radiation Hardness,"X-FAB has not characterized any of its processes for radiation-hardness and we do not monitor or warrant any of our technologies for radiation hardness, nor do we have expertise in the design of radiation hardened cells. We do have customers who do their own designs for radiation hard applications (using both CMOS bulk wafer and SOI technologies*), but those customers use either their own experience or public information about the best techniques to use, and then assess the results themselves.
* SOI processes are generally more radiation tolerant than bulk CMOS processes - but we cannot say by how much in our technologies.
Clearly we're not at liberty to discuss any techniques that another customer has used, so we can only refer customers to whatever can be found in the public literature to aid their design.
Note that some design techniques could involve the use of structures or layouts that are not supported by our verification decks. For DRC errors on them, we could only advise on the manufacturability of the structure, but the responsibility of waiving them would be the customer's. Any LVS or extraction issues arising from special structures not corresponding to our characterized primitive devices would also not be supported.","###Human:
Radiation Hardness

###Assistant:
X-FAB has not characterized any of its processes for radiation-hardness and we do not monitor or warrant any of our technologies for radiation hardness, nor do we have expertise in the design of radiation hardened cells. We do have customers who do their own designs for radiation hard applications (using both CMOS bulk wafer and SOI technologies*), but those customers use either their own experience or public information about the best techniques to use, and then assess the results themselves.
* SOI processes are generally more radiation tolerant than bulk CMOS processes - but we cannot say by how much in our technologies.
Clearly we're not at liberty to discuss any techniques that another customer has used, so we can only refer customers to whatever can be found in the public literature to aid their design.
Note that some design techniques could involve the use of structures or layouts that are not supported by our verification decks. For DRC errors on them, we could only advise on the manufacturability of the structure, but the responsibility of waiving them would be the customer's. Any LVS or extraction issues arising from special structures not corresponding to our characterized primitive devices would also not be supported."
"How do I implement multiple instances of a ROM, each with different programming?","When instantiating multiple instances of the same ROM configuration but with different programmings, it is necessary to use the 'extended name' option on the front-end compiler so that each separate instance has a unique name. Otherwise, when IP replacement is performed, both instances will be identical. The distinct names will be used by the backend compiler so that the top cell name of the generated ROM block will be distinct. Otherwise the cal files submitted will be the same with identical top cell names. Then, even though your blackbox cell names are necessarily different, if we were to proceed with the IP replacement, the result would be all ROMs with the same programming. Thus to ensure each ROM instance will have the desired programming, generate the front-end data from the compiler using the extended name option to specify a unique name for each ROM.","###Human:
How do I implement multiple instances of a ROM, each with different programming?

###Assistant:
When instantiating multiple instances of the same ROM configuration but with different programmings, it is necessary to use the 'extended name' option on the front-end compiler so that each separate instance has a unique name. Otherwise, when IP replacement is performed, both instances will be identical. The distinct names will be used by the backend compiler so that the top cell name of the generated ROM block will be distinct. Otherwise the cal files submitted will be the same with identical top cell names. Then, even though your blackbox cell names are necessarily different, if we were to proceed with the IP replacement, the result would be all ROMs with the same programming. Thus to ensure each ROM instance will have the desired programming, generate the front-end data from the compiler using the extended name option to specify a unique name for each ROM."
Please explain the usage of Page 2 (Safety area).,"Let  me clarify a couple of comments on the datasheet:

'if power supply interruption during store is impossible.' -
The background is that the trim bits for the charge pump are stored in page 2. The trim bits are determined and stored during wafer probe 1. The trim bits control the programming and erase behavior (timing, pulses, programming and erase voltage level,…) of the Store operation. If the trim bits do not have the correct value, the endurance and data retention cannot be guaranteed. Any power supply interruption (for example brown-outs) during Store operation could lead to corrupted non-volatile data, because the Store is not executed/finished correctly. Such scenarios are very application dependent. General recommendation is to store critical data (like the trim bits) on page 2 during wafer probe/final test and do no further Store operation to page 2 during the application. If the correct power supply and a correct Store can be guaranteed, storing to page 2 can also be done.

'If no customer safety relevant data have to be stored it is sufficient to use the maximum size of page 1.' --
In the compiler web interface on myXFAB, the page size (WORDS_PAGE1) can be customized (the restrictions are visible in the compiler web interface). If there are very few or no further critical data (as described above) except the NVRAM trim bits, the page 2 size can be minimized to not waste area.","###Human:
Please explain the usage of Page 2 (Safety area).

###Assistant:
Let  me clarify a couple of comments on the datasheet:

'if power supply interruption during store is impossible.' -
The background is that the trim bits for the charge pump are stored in page 2. The trim bits are determined and stored during wafer probe 1. The trim bits control the programming and erase behavior (timing, pulses, programming and erase voltage level,…) of the Store operation. If the trim bits do not have the correct value, the endurance and data retention cannot be guaranteed. Any power supply interruption (for example brown-outs) during Store operation could lead to corrupted non-volatile data, because the Store is not executed/finished correctly. Such scenarios are very application dependent. General recommendation is to store critical data (like the trim bits) on page 2 during wafer probe/final test and do no further Store operation to page 2 during the application. If the correct power supply and a correct Store can be guaranteed, storing to page 2 can also be done.

'If no customer safety relevant data have to be stored it is sufficient to use the maximum size of page 1.' --
In the compiler web interface on myXFAB, the page size (WORDS_PAGE1) can be customized (the restrictions are visible in the compiler web interface). If there are very few or no further critical data (as described above) except the NVRAM trim bits, the page 2 size can be minimized to not waste area."
Q1SU DRC flags,"The SUBCUT layer is not used for any masks, its purpose is only to perform a 'trick' for LVS to pretend the substrate is separable for different ground domains. The Q1SU rule is only a warning (as are all Q* rules). B1SU is the only check for how SUBCUT is used; while DRC will always flag Q1SU whenever SUBCUT is present. You might interpret Q1SU as asking if you are intentionally using SUBCUT.","###Human:
Q1SU DRC flags

###Assistant:
The SUBCUT layer is not used for any masks, its purpose is only to perform a 'trick' for LVS to pretend the substrate is separable for different ground domains. The Q1SU rule is only a warning (as are all Q* rules). B1SU is the only check for how SUBCUT is used; while DRC will always flag Q1SU whenever SUBCUT is present. You might interpret Q1SU as asking if you are intentionally using SUBCUT."
Explain the Primitive Device List (PDL) results from Data Input Check.,"The PDL (primitive device list) file is produced from a special LVS run that only extracts a list of the primitive devices (including parasitic devices) present in your layout. The parasitic devices would generally be diodes that are part of the structure of high voltage or isolated transistors.
The PDL file is for information only. There have been cases in some of our technologies where a primitive device may be superseded by an improved version, or conceivably some issue under certain operating conditions of a device may have been identified -- in such cases, our Customer Projects department would use the PDL to check if such devices are used in a customer's design and make sure the customer is aware of the device's status. 
If you want to know the locations of devices in your layout, you should perform a parasitic extraction run (such as with our Cadence QRC or Calibre PEX runsets).","###Human:
Explain the Primitive Device List (PDL) results from Data Input Check.

###Assistant:
The PDL (primitive device list) file is produced from a special LVS run that only extracts a list of the primitive devices (including parasitic devices) present in your layout. The parasitic devices would generally be diodes that are part of the structure of high voltage or isolated transistors.
The PDL file is for information only. There have been cases in some of our technologies where a primitive device may be superseded by an improved version, or conceivably some issue under certain operating conditions of a device may have been identified -- in such cases, our Customer Projects department would use the PDL to check if such devices are used in a customer's design and make sure the customer is aware of the device's status. 
If you want to know the locations of devices in your layout, you should perform a parasitic extraction run (such as with our Cadence QRC or Calibre PEX runsets)."
Does X-FAB offer Flip Chip support?,"X-FAB does not support any additional processing for flip chip (such as the seed and plating layers or the ball deposition) so of course customers must discuss that with their assembly subcontractor.
X-FAB does not offer any flip-chip specific processing. We don't make any special processing or bondpad designs for flip-chip either, but our standard pads have been used by some customers at flip-chip houses. Please review and understand your assembly partner's rules for flip-chip to check their requirements and see what (if any) modification might be needed to comply. You should be able to do any layout modifications yourself.","###Human:
Does X-FAB offer Flip Chip support?

###Assistant:
X-FAB does not support any additional processing for flip chip (such as the seed and plating layers or the ball deposition) so of course customers must discuss that with their assembly subcontractor.
X-FAB does not offer any flip-chip specific processing. We don't make any special processing or bondpad designs for flip-chip either, but our standard pads have been used by some customers at flip-chip houses. Please review and understand your assembly partner's rules for flip-chip to check their requirements and see what (if any) modification might be needed to comply. You should be able to do any layout modifications yourself."
Which antenna diode should be use?,"The connection to DIFF provides a discharge path during manufacture, so its function as an antenna diode doesn't matter which diode is used. After manufacture, the antenna role is no longer needed, and how the diode could impact the function of the circuit must dictate which diode is selected. Rather than the breakdown voltage parameter, the reverse bias operating limit should be used to decide. Alternatively, where possible, a metal bridge close to the at-risk gate oxide can be used to fix an antenna violation.","###Human:
Which antenna diode should be use?

###Assistant:
The connection to DIFF provides a discharge path during manufacture, so its function as an antenna diode doesn't matter which diode is used. After manufacture, the antenna role is no longer needed, and how the diode could impact the function of the circuit must dictate which diode is selected. Rather than the breakdown voltage parameter, the reverse bias operating limit should be used to decide. Alternatively, where possible, a metal bridge close to the at-risk gate oxide can be used to fix an antenna violation."
